name;address;postal_code;city;category
SOUDANT CHRISTOPHE;5 RUE DE FRANCHE COMTE;67400;Illkirch Graffenstaden;Accueil, hÙtellerie, tourisme
MARIE ANGE KERNEIS;26 RUE DU ROCHER;44450;LA CHAPELLE BASSE MER;Accueil, hÙtellerie, tourisme
DORLAC SAMANTHA;39 RUE MARCEL DEBORBE;3120;LAPALISSE;Accueil, hÙtellerie, tourisme
ELAN EMPLOI;1000 RUE DES GENTIANES;39000;LONS LE SAUNIER;Accueil, hÙtellerie, tourisme
SARAHCA;11 RUE LEYNAUD;69001;LYON;Accueil, hÙtellerie, tourisme
THIERRY PUECH;59 RUE DE L'AUBE;4100;MANOSQUE;Accueil, hÙtellerie, tourisme
BERNARD DAMIEN;20 RUE DES MARGUERITES;69330;MEYZIEU;Accueil, hÙtellerie, tourisme
HAPPY RESORT;162 RUE DE LA CHARMETTE;73500;MODANE;Accueil, hÙtellerie, tourisme
ASTRUGUE PATRICK - P.A. CONSEILS;181 RUE DU PARC;69250;MONTANAY;Accueil, hÙtellerie, tourisme
SASU LE KARMA;3 RUE DE VALLAT;34000;MONTPELLIER;Accueil, hÙtellerie, tourisme
SAS FRIENDLY COMPANY;84 Rue Maurice Bejart;34080;MONTPELLIER;Accueil, hÙtellerie, tourisme
SA SEHR VATEL;140 RUE VATEL;30900;NIMES;Accueil, hÙtellerie, tourisme
FREMONT ALAIN CONSULTANT;5 RUE DU MARECHEL FAYOLLE ;94130;NOGENT SUR MARNE;Accueil, hÙtellerie, tourisme
M. BRUNET Guillaume;13 rue de l'Egalité;37390;NOTRE DAME D OE;Accueil, hÙtellerie, tourisme
ACCESSITOUR;21 RUE DU BELON;29340;RIEC SUR BELON;Accueil, hÙtellerie, tourisme
SARL GROUPE CROUSTI;11 rue Fernand Forest;63540;ROMAGNAT;Accueil, hÙtellerie, tourisme
BUSINESS LEARNING UNIT OF EXCELLENCE;25 RUE DES FABRIQUES;97410;SAINT-PIERRE;Accueil, hÙtellerie, tourisme
ANDRES RASCLE SYLVAIN;24 RUE DE LA REPUBLIQUE;81540;SOREZE;Accueil, hÙtellerie, tourisme
FACILICOM FORMATION;2 RUE MARCO POLO;94370;SUCY EN BRIE;Accueil, hÙtellerie, tourisme
MILZARTS SAS;6 RUE DAUTEZAC;31300;TOULOUSE;Accueil, hÙtellerie, tourisme
UNAT BRETAGNE;47 RUE FERDINAND LE DRESSAY;56002;VANNES;Accueil, hÙtellerie, tourisme
LA CHAUMIERE;10 rue des remparts Tournoel;63530;VOLVIC;Accueil, hÙtellerie, tourisme
FORMAD;15 RUE DE ROME;75008;PARIS;Agro-alimentaire, alimentation, cuisine
CLAQ ILE DE FRANCE;56 RUE DE LONDRES;75008;PARIS;Agro-alimentaire, alimentation, cuisine
A.D.S. L'ATELIER DE STEPHANE;24 RUE LOUIS BLANC;75010;PARIS;Agro-alimentaire, alimentation, cuisine
ACTION AVENIR FORMATION CONSEIL OU 2AFC;3 RUE BAUDELAIRE;75012;PARIS;Agro-alimentaire, alimentation, cuisine
A. TORTU CONSEIL ET FORMATION;180 RUE BLOMET;75015;PARIS;Agro-alimentaire, alimentation, cuisine
M. DANIEL HUDRY - F.C.R;12 RUE MARGUERITE LONG;75017;PARIS;Agro-alimentaire, alimentation, cuisine
SARL CAFE LOMI;3 RUE MARCADET;75018;PARIS;Agro-alimentaire, alimentation, cuisine
ASSOCIATION PANORAMA;114 RUE DE MENILMONTANT;75020;PARIS;Agro-alimentaire, alimentation, cuisine
JMB CONSULTANTS;18 RUE PELLEPORT;75020;PARIS;Agro-alimentaire, alimentation, cuisine
SOCIETE SCIENTIFIQUE D'HYGIENE ALIMENTAIRE;16 RUE DE L'ESTRAPADE;75005;PARIS;Agro-alimentaire, alimentation, cuisine
R et K;24 rue des Boulangers;75005;PARIS;Agro-alimentaire, alimentation, cuisine
L'ATELIER DES CHEFS (S.A.S.);8 rue jacques daguerre;75008;PARIS;Agro-alimentaire, alimentation, cuisine
LAMINIAK;10 RUE DE LA PETITE PIERRE;75011;PARIS;Agro-alimentaire, alimentation, cuisine
ETLB;14 RUE CRESPIN DU GAST;75011;PARIS;Agro-alimentaire, alimentation, cuisine
LENAIN ECOLE DES GOURMETS;154 RUE DE CHARENTON ;75012;PARIS;Agro-alimentaire, alimentation, cuisine
YUKIKO MURATA;22 rue du Sergent Bauchet;75012;PARIS;Agro-alimentaire, alimentation, cuisine
FORMATEXIA;26 RUE NICOLAI;75012;PARIS;Agro-alimentaire, alimentation, cuisine
ENVOL;45 RUE VIOLET;75015;PARIS;Agro-alimentaire, alimentation, cuisine
ADI SHAKTI;9 RUE GUTENBERG;75015;PARIS;Agro-alimentaire, alimentation, cuisine
GASTRONHOMING-OENOPARIS;57 RUE DE LA CONDAMINE;75017;PARIS;Agro-alimentaire, alimentation, cuisine
ASS ACEP ILE DE FRANCE ;120 rue des Grands Champs;75020;PARIS;Agro-alimentaire, alimentation, cuisine
FIERIC;36 RUE KLEBER;47000;AGEN;Agro-alimentaire, alimentation, cuisine
CENTRE DE FORMATION D APPRENTIS;7 RUE DU CHATEAU DE L HORLOGE;13090;AIX EN PROVENCE;Agro-alimentaire, alimentation, cuisine
EURL AXIS;26 RUE AUMONE VIEILLE;13100;AIX EN PROVENCE;Agro-alimentaire, alimentation, cuisine
PAIDEIA  EURL;115 RUE DE SSAC;81000;ALBI;Agro-alimentaire, alimentation, cuisine
LABORATOIRE DES TECHNIQUES ET SCIENCES DES ALIMENTS;17 RUE PIERRE JOUANNY;61005;ALENCON;Agro-alimentaire, alimentation, cuisine
QUALIJOB;3 RUE D'AMSDAM;60110;AMBLAINVILLE;Agro-alimentaire, alimentation, cuisine
FORMATION CONSULTING;246 RUE BERANGER;80000;AMIENS;Agro-alimentaire, alimentation, cuisine
FORCE 5;3 RUE DARWIN;49045;ANGERS;Agro-alimentaire, alimentation, cuisine
ASSOCIATION DES CADRES ET ASSIMILES  POUR L'EMPLOI;22 RUE LAREVELLIERE;49100;ANGERS;Agro-alimentaire, alimentation, cuisine
SAS RESTORIA;12 RUE GEORGES MANDEL;49009;ANGERS CEDEX 1;Agro-alimentaire, alimentation, cuisine
ALLIANCES FORMATIONS;2 RUE DU BOIS DE LA FONTAINE;91670;angerville;Agro-alimentaire, alimentation, cuisine
1 2 3 DIPLOME SAS;11 RUE WALDECK ROUSSEAU;59410;ANZIN;Agro-alimentaire, alimentation, cuisine
LAURENTJOYE Aurélie;7 RUE DU BARAIL;33460;ARSAC;Agro-alimentaire, alimentation, cuisine
ARTPICULTURE ASSOCIATION;1 RUE BOUSQUET;65500;ARTAGNAN;Agro-alimentaire, alimentation, cuisine
HO-RES-TO FORMATION;1 RUE LARRE EDER BIDEXKA;64310;ASCAIN;Agro-alimentaire, alimentation, cuisine
QSE CONSULT;30 RUE DE LA STATION;68700;ASPACH LE BAS;Agro-alimentaire, alimentation, cuisine
FORMA-CONSEIL;53 rue pasteur;28700;AUNEAU;Agro-alimentaire, alimentation, cuisine
ECOLE CHRISTIAN VABRET;3 RUE LAVOISIER;15000;AURILLAC;Agro-alimentaire, alimentation, cuisine
INSTITUT FORMATION PROFESSIONNELLE  PERMANENTE;8 RUE AGRICOLE PERDIGUIER;15007;AURILLAC CEDEX;Agro-alimentaire, alimentation, cuisine
SPILEERS JEROME;40 RUE GUSTAVE COURBET;81200;AUSSILLON;Agro-alimentaire, alimentation, cuisine
MISSION QUALITE;6 RUE SAINTE ANNE;10400;AVANT LES MARCILLY;Agro-alimentaire, alimentation, cuisine
SECUR'HYGIENE / CLAUDE GREGOIRE;10 RUE VELOUIE;84000;AVIGNON;Agro-alimentaire, alimentation, cuisine
HNCCBS SARL;16 RUE DU DOCTEUR FAUVEL;14490;BALLEROY SUR DROME;Agro-alimentaire, alimentation, cuisine
MR CHRISTOPHE METRA;23 RUE DE LA POSTE;66300;BANYULS DELS ASPRES;Agro-alimentaire, alimentation, cuisine
CFA LOUIS PRIOUX;4 RUE DURENNE PARC BRADFER;55000;BAR LE DUC;Agro-alimentaire, alimentation, cuisine
ALG CONSEIL  ANNE LAURE GILBERT;45 GRAND RUE;67140;BARR;Agro-alimentaire, alimentation, cuisine
PAUL KLEIN;1 RUE DU CHATELET;90800;BAVILLIERS;Agro-alimentaire, alimentation, cuisine
STEPHANE KLEIN;1 RUE DU CHATELET;90800;BAVILLIERS;Agro-alimentaire, alimentation, cuisine
MOUGEL ISABELLE;5 B RUE DE STRASBOURG;90000;BELFORT;Agro-alimentaire, alimentation, cuisine
MOULON LIONEL;24 A rue de la vieille Poste;40230;BENESSE MAREMNE;Agro-alimentaire, alimentation, cuisine
GRAFFIN  STEPHANE;26 RUE DU CABOULOT;28300;BERCHERES SAINT GERMAIN;Agro-alimentaire, alimentation, cuisine
CFA DU GRAND BERGERACOIS;109 RUE DU DOCTEUR ROUX;24100;BERGERAC;Agro-alimentaire, alimentation, cuisine
RAVIR 24;6 RUE SAINTE CATHERINE;24100;BERGERAC;Agro-alimentaire, alimentation, cuisine
CHAMBRE DE METIERS ET DE L'ARTISANAT INTERDEPARTEMANTALE  FRANCHE COMTE;101 rue de VESOUL;25000;BESANCON;Agro-alimentaire, alimentation, cuisine
MC QUALITE PLUS;24 RUE WAL GROPIUS;25000;BESANCON;Agro-alimentaire, alimentation, cuisine
SARL CRECALE;RUE DU PRE BRENOT ESPACE VALENTIN;25048;BESANCON CEDEX;Agro-alimentaire, alimentation, cuisine
BRUNO - MICHEL - OLIVIER AUDIT - CONSEIL - FORMATION SAS - B-M-O AUDIT - CONSEIL - FORMATION;934 RUE DE LILLE;62400;BETHUNE;Agro-alimentaire, alimentation, cuisine
TEP SA;2 RUE DES ESSIOS;51430;BEZANNES;Agro-alimentaire, alimentation, cuisine
EURL HAGE CONSEIL ;5 RUE DE TINLHAT;63160;BILLOM;Agro-alimentaire, alimentation, cuisine
GERSON FORMATION SASU RESTO FORMATIONS;3 RUE LAVOISIER;31700;BLAGNAC;Agro-alimentaire, alimentation, cuisine
STATION CLEAN SARL;3 RUE LAVOISIER;31700;BLAGNAC;Agro-alimentaire, alimentation, cuisine
ECOLE ECOFIH;79 RUE DE PARIS;93000;BOBIGNY;Agro-alimentaire, alimentation, cuisine
REGIS BOUET SOLUTIONS;225 RUE JUDAIQUE;33000;BORDEAUX;Agro-alimentaire, alimentation, cuisine
AFPIP  CTRE DE FORMATION DES PRODUITS DE LA MER;8 10 RUE DE VERDUN;62200;BOULOGNE SUR MER;Agro-alimentaire, alimentation, cuisine
AGRO SENS CONSEIL;6 RUE MONTESQUIEU;1000;BOURG EN BRESSE;Agro-alimentaire, alimentation, cuisine
AD VALORES;17 RUE DE L'ESCOT;38300;BOURGOIN JALLIEU;Agro-alimentaire, alimentation, cuisine
CAPITAL POINTS FORMATION +SAS;19 RUE ANNA MARLY;31490;BRAX;Agro-alimentaire, alimentation, cuisine
TECNOREST;1 rue colonel Chanbonnet;69500;BRON;Agro-alimentaire, alimentation, cuisine
TIEMPO CONSULTING;19 RUE PASTEUR;91800;BRUNOY;Agro-alimentaire, alimentation, cuisine
GROUPE ROUGEREAU;8 RUE DES COMPAGNONS ;14000;CAEN;Agro-alimentaire, alimentation, cuisine
MR LAURENT GUILLERMO;6 Rue Florent;30420;CALVISSON;Agro-alimentaire, alimentation, cuisine
CIE MEDITERRANEENNE DES CAFES MALONGO;LID 9EME RUE;6513;CARROS CEDEX;Agro-alimentaire, alimentation, cuisine
BOULANGERIE ECOLE L'AURA;14 RUE DE L'HOPITAL;26120;CHABEUIL;Agro-alimentaire, alimentation, cuisine
AFC QUALITE;3 RUE ERNEST DAGONET;51000;CHALONS EN CHAMPAGNE;Agro-alimentaire, alimentation, cuisine
ROUVIERE JEAN-LUC      COACH CULINAIRE;98 RUE GARIBALDI;73000;CHAMBERY;Agro-alimentaire, alimentation, cuisine
XAVIER CHATELAT EXCELLENCE;37 RUE DE LESSY;57160;CHATEL SAINT GERMAIN;Agro-alimentaire, alimentation, cuisine
HURET FREDERIC - CHR FORMATION;23 RUE DES VARENNES;63140;CHATEL-GUYON;Agro-alimentaire, alimentation, cuisine
MICRO BRASSERIE CHAUMONTOISE - BIODIFFUSION EURL;30 RUE PAUL JOURNEE ;60240;CHAUMONT EN VEXIN;Agro-alimentaire, alimentation, cuisine
KARINE ET PASCAL LENOBLE FORMATION;34 rue Nationale;37150;CIVRAY DE TOURAINE;Agro-alimentaire, alimentation, cuisine
ASSOCIATION GALILAIT;8 RUE DES FRERES LUMIERE;63100;CLERMONT FERRAND;Agro-alimentaire, alimentation, cuisine
DECLIC  SAVEURS - M. CARDEY PASCAL;21 RUE ST ANDRE;45370;CLERY SAINT ANDRE;Agro-alimentaire, alimentation, cuisine
ELLAB SARL;5 RUE CLEMENT ADER;60200;COMPIEGNE;Agro-alimentaire, alimentation, cuisine
LEJEUNE GILLES;4 rue Jean Jacques Rousseau;91100;CORBEIL ESSONNES;Agro-alimentaire, alimentation, cuisine
SAVEUR ET MEDIA PHILIPPE ROGEZ;2 RUE DU CARROIR;41150;COULANGES;Agro-alimentaire, alimentation, cuisine
JMSA. FORMATION CONSEIL MALOT JEAN MICHEL;47 RUE JULES JUILLET;60100;CREIL;Agro-alimentaire, alimentation, cuisine
DZ CONSULTANT - DAMIEN ZANETTI;12 RUE DE LA BOUTIERE;39100;CRISSEY;Agro-alimentaire, alimentation, cuisine
MISSIONS HYGIENE IAA;171 RUE DE LA GARENNE;1290;CROTTET;Agro-alimentaire, alimentation, cuisine
SAS LE COLLECTIF 21;5 RUE EMILE BLANCHET;77400;DAMPMART;Agro-alimentaire, alimentation, cuisine
DOMINIQUE ALBIZZATI;3 RUE DES MARTYRS;90400;DANJOUTIN;Agro-alimentaire, alimentation, cuisine
ACJC;10 rue Michel Ange;21000;DIJON;Agro-alimentaire, alimentation, cuisine
ASSOCIATION REGIONALE DES ENTREPRISES ALIMENTAIRES DE BOURGOGNE FRANCHE COMTE - AREA BFC;67 rue des Godrans;21000;DIJON;Agro-alimentaire, alimentation, cuisine
CUISIN' STUDIO  ;29 RUE DU CHARRON;67960;ENTZHEIM;Agro-alimentaire, alimentation, cuisine
CHAMBRE DE METIERS ET DE L'ARTISANAT DES VOSGES;22 RUE LEO VALENTIN;88000;EPINAL;Agro-alimentaire, alimentation, cuisine
CONSEIL DEPARTEMENTAL DES VOSGES/LABORATOIRE VETERINAIRE ET ALIMENTAIRE DES VOSGES;48 RUE DE LA BAZAINE;88000;EPINAL;Agro-alimentaire, alimentation, cuisine
FATIMA MOUSTAID HOUNTONDJI;1818 RUE DES MIMOSAS;76710;ESLETTES;Agro-alimentaire, alimentation, cuisine
YANN TABOUREL - FORMATION CONSEIL EN BOULANGERIE;23 RUE DU PARC;14930;ETERVILLE;Agro-alimentaire, alimentation, cuisine
AGELLIS CONSEIL           ANGEL-CLAUDE ESCOLANO;26 RUE DU BOIS DES TRENTAINES;14930;ETERVILLE;Agro-alimentaire, alimentation, cuisine
MONSIEUR YVAN POSTEL;39 RUE DE LA MALADRERIE;60960;FEUQUIERES;Agro-alimentaire, alimentation, cuisine
TALENTS CROISES;44 RUE DE LA TOUR DE VARAN;42700;FIRMINY;Agro-alimentaire, alimentation, cuisine
DIVERSEY ;201 RUE CARNOT;94120;FONTENAY SOUS BOIS;Agro-alimentaire, alimentation, cuisine
GAUVREAU ANNE ISABELLE ;83 RUE ANDRE TESSIER;94120;FONTENAY SOUS BOIS;Agro-alimentaire, alimentation, cuisine
ASSOCIATION POUR LA GESTION DU CFA DU COMMINGES;17 RUE RENE ARNAUD;31210;GOURDAN POLIGNAN;Agro-alimentaire, alimentation, cuisine
SIGES FORMATION;6 RUE DE LA REDOUTE;78043;GUYANCOURT CEDEX;Agro-alimentaire, alimentation, cuisine
L & FORMATION;25 RUE DU RUISSEAU DE LA VIENNE;28130;HANCHES;Agro-alimentaire, alimentation, cuisine
POUYET FORMATION;20 RUE EMILE GALLE;54180;HOUDEMONT;Agro-alimentaire, alimentation, cuisine
PYRENEES NETTOYAGE SAS PYRENET;3 RUE D'ISABY;65420;IBOS;Agro-alimentaire, alimentation, cuisine
SAS NODDI;25 RUE DE LA MERIDIENNE VERTE;18570;LA CHAPELLE ST URSIN;Agro-alimentaire, alimentation, cuisine
NUTRACTIV;47 RUE BOILEAU;85000;LA ROCHE SUR YON;Agro-alimentaire, alimentation, cuisine
AXYS S.A.R.L.;33 RUE DU REMPART ST CLAUDE;17000;LA ROCHELLE;Agro-alimentaire, alimentation, cuisine
ARDILEY LAJOINIE Francine;39 rue MAUBEC;33210;LANGON;Agro-alimentaire, alimentation, cuisine
MONSIEUR PIQUET DIDIER;17 RUE DES GREVES;22360;LANGUEUX;Agro-alimentaire, alimentation, cuisine
IZARD CONSEILS;3 RUE DES MARCHANDS;29870;LANNILIS;Agro-alimentaire, alimentation, cuisine
MD DIETETIQUE - MARTINE DEBRAND;30 RUE DU POINT DU JOUR;2000;LAON;Agro-alimentaire, alimentation, cuisine
ACTUAL FORMATION COMPETENCES;11 RUE EMILE BRAULT;53000;LAVAL;Agro-alimentaire, alimentation, cuisine
GENERATION CFASE;15 RUE LEON GONTRAN DAMAS;97232;LE LAMENTIN;Agro-alimentaire, alimentation, cuisine
HYGI 3 - MARYSE NOEL;81 RUE DES NARCISSES;72100;LE MANS;Agro-alimentaire, alimentation, cuisine
ECOLE DE PIZZA REUNION OCEAN INDIEN;177 RUE CHARLES BAUDELAIRE;97430;LE TAMPON;Agro-alimentaire, alimentation, cuisine
TERANA;20 RUE AIME RUDEL;63370;LEMPDES;Agro-alimentaire, alimentation, cuisine
ASSOCIATION DE GESTION DU LYCEE ST JOSEPH;15 rue du Couvent;25210;LES FONTENELLES;Agro-alimentaire, alimentation, cuisine
PHILIPPE LLORCA;14 rue Pierre Brosselette;92300;LEVALLOIS PERRET;Agro-alimentaire, alimentation, cuisine
CAMPUS PRO EMPLOI SARL;5 RUE DE L INNOVATION;59260;LILLE HELLEMMES;Agro-alimentaire, alimentation, cuisine
CENTRE DE FORMATION SAINT JEAN OGEC.OZANAM J.D'ARC SAINT JEAN;26 RUE EUGENE VARLIN;87000;LIMOGES;Agro-alimentaire, alimentation, cuisine
ANTOINE OLIVIER CONSEILS;13 RUE JEAN ITEY;33310;LORMONT;Agro-alimentaire, alimentation, cuisine
BERAHA ELIAOU - SAINT ANTOINE CONSULTING;52 RUE SAINT ANTOINE;69003;LYON;Agro-alimentaire, alimentation, cuisine
FORM' ACTION RHONE-ALPES;13 RUE GIRIE;69003;LYON 03;Agro-alimentaire, alimentation, cuisine
HYGI DIET;271 RUE PAUL BERT;69003;LYON 03;Agro-alimentaire, alimentation, cuisine
SEPR STE D'ENSEIGNEMENT PROFESSIONNEL DU RHONE;46 RUE PROFESSEUR ROCHAIX;69424;LYON CEDEX 03;Agro-alimentaire, alimentation, cuisine
CG DEVELOPPEMENT CATHERINE GERIN;9 RUE DU GEANT;13910;maillane;Agro-alimentaire, alimentation, cuisine
SASU HUND OCCITANIE CONSULTANT;11 RUE DU FLANC DES COTEAUX;34370;MARAUSSAN;Agro-alimentaire, alimentation, cuisine
ACS PERFORMANCE FORMATION CONSEIL SAS;19 RUE DU CHEVAL BLANC;59700;MARCQ EN BAROEUL;Agro-alimentaire, alimentation, cuisine
ALPA CONSULT NORD SARL;37 RUE PIERRE BROSSOLETTE;59700;MARCQ EN BAROEUL;Agro-alimentaire, alimentation, cuisine
SARL BH CONSULTANTS;11 RUE DES BLES D'OR;94440;MAROLLES EN BRIE;Agro-alimentaire, alimentation, cuisine
LESAFFRE INTERNATIONAL BAKING INSTITUT;77 RUE DE MENIN;59520;marquette lez lille;Agro-alimentaire, alimentation, cuisine
ESCLAPEZ ANDRE;15 RUE PASCAL ;13007;MARSEILLE 07;Agro-alimentaire, alimentation, cuisine
LABO DEPARTEMENTAL D'ANALYSES;29 RUE JOLIOT CURIE;13013;MARSEILLE 13;Agro-alimentaire, alimentation, cuisine
CONSEIL FORMATION INGENIEURIE CFI MEDITERRANEE;57 RUE DRAGON;13178;MARSEILLE CEDEX 20;Agro-alimentaire, alimentation, cuisine
EUROFIN CERTIFICATION;2 rue du Chemin des Femmes;91300;MASSY;Agro-alimentaire, alimentation, cuisine
JLV CONSEIL;86 RUE PYTHAGORE;34130;MAUGUIO;Agro-alimentaire, alimentation, cuisine
PROST VALERIE (MAC 7);19 RUE DES RECOLLETS;77000;MELUN;Agro-alimentaire, alimentation, cuisine
DEPARTEMENT DE LA LOZERE;RUE DU GEVAUDAN;48000;MENDE;Agro-alimentaire, alimentation, cuisine
FEDERATION DES BOUCHERS CHARCUTIERS TRAITEURS DE MOSELLE;1 RUE DE LA MENANDIE;57050;METZ;Agro-alimentaire, alimentation, cuisine
PFA EFFICIENCE;9 RUE JACQUELINE AURIOL;69330;MEYZIEU;Agro-alimentaire, alimentation, cuisine
U.D.O.V.E.P. UNION ORGANISMES DE VACANCES EDUCATION POPULAIRE;18 RUE DES PRES;71300;MONTCEAU LES MINES;Agro-alimentaire, alimentation, cuisine
CRITT AGRO ALIMENTAIRE P.A.C.A;CITE DE L'ALIMENTATION RUE PIERRE BAYLE;84140;MONTFAVET;Agro-alimentaire, alimentation, cuisine
SAMIA GARNIER;43 RUE DES TULIPES ;93370;MONTFERMEIL;Agro-alimentaire, alimentation, cuisine
COBEN CONSULTING SAS;15 RUE FENELON;92120;MONTROUGE;Agro-alimentaire, alimentation, cuisine
MAISON FAMILIALE RURALE;11 RUE DES PLANCHES;25660;MORRE;Agro-alimentaire, alimentation, cuisine
CENTRE DE FORMATION INDUSTRIE HOTELIERE DE MEURTHE MOSELLE;24 RUE HENRI BAZIN;54000;NANCY;Agro-alimentaire, alimentation, cuisine
ALL CONSULTING SAS;29 RUE DE LA PAIX;54000;NANCY;Agro-alimentaire, alimentation, cuisine
INSTITUT DU GOUT DES VINS;4 RUE DE L'HIPPODROME;44300;NANTES;Agro-alimentaire, alimentation, cuisine
AFCO;3 RUE DE L'ASSOMPTION;6100;NICE;Agro-alimentaire, alimentation, cuisine
SEBASTIEN GUILLOT;1 RUE DU BACONNET;86340;NIEUIL L ESPOIR;Agro-alimentaire, alimentation, cuisine
MR MARC ANTOINE / CONTRAST;221 RUE CLAUDE NICOLAS LEDOUX;30900;NIMES;Agro-alimentaire, alimentation, cuisine
FONDATION INFA (INST. NATIONAL DE FORMATION ET D'APPLICATION DU CCO);5 RUE ANQUETIL;94130;NOGENT SUR MARNE;Agro-alimentaire, alimentation, cuisine
TOUATI  Lysiane;4 rue de la de la fontaine du clos;93160;NOISY LE GRAND;Agro-alimentaire, alimentation, cuisine
S2B PIZZAPERO ;1 RUE D'ANJOU;44390;NORT SUR ERDRE;Agro-alimentaire, alimentation, cuisine
CHAMBRE DE METIERS DE L'AVEYRON;RUE DES METIERS;12850;ONET LE CHATEAU;Agro-alimentaire, alimentation, cuisine
Les GOURMANDISES de LOUIS  - M. LESEIGNEUR ;03 rue Jeanne Jugan;45000;ORLEANS;Agro-alimentaire, alimentation, cuisine
SWEET'ART - M. MORIN PHILIPPE;44 RUE DU FAUBOURG DE BOURGOGNE;45000;ORLEANS ;Agro-alimentaire, alimentation, cuisine
MASSOT CEDRIC - QUO VADIS FORMATION;9 RUE DES JARDINS;69600;OULLINS;Agro-alimentaire, alimentation, cuisine
COLLECTIF LES PIEDS DANS LE PLAT;20 rue du vélodrome;24000;PERIGUEUX;Agro-alimentaire, alimentation, cuisine
APPRO-VISION;453 RUE ALPHONSE BEAU DE ROCHAS;66000;PERPIGNAN;Agro-alimentaire, alimentation, cuisine
LA ROCHE DU TRESOR MAISON FAMILIALE RURALE;1 RUE DU PRE;25510;PIERREFONTAINE LES VARANS;Agro-alimentaire, alimentation, cuisine
GAMMA CONCEPTION SARL;11 RUE DE BOURGOGNE ;31830;PLAISANCE DU TOUCH;Agro-alimentaire, alimentation, cuisine
GOUTS & COULEURS - SAS YOLAINE LE COZ;3 RUE DES POTIERS;56400;PLOEMEL;Agro-alimentaire, alimentation, cuisine
CENTRE TECHNIQUE DES FROMAGES COMTOIS;9 RUE WLADIMIR GAGNEUR;39800;POLIGNY;Agro-alimentaire, alimentation, cuisine
MAISON VIVANT INC;15 rue Marey Monge;21630;POMMARD;Agro-alimentaire, alimentation, cuisine
AQ-PI;59 rue Toulombief;25300;PONTARLIER;Agro-alimentaire, alimentation, cuisine
PATRICIA GALLET;3 RUE DU BOUFFAY;44160;PONTCHATEAU;Agro-alimentaire, alimentation, cuisine
IFRIA BRETAGNE;5 RUE PIERRE TREMINTIN;29000;QUIMPER;Agro-alimentaire, alimentation, cuisine
SARL G ET P CONSEIL;27 RUE GABRIEL O\'BYRNE;81800;RABASTENS;Agro-alimentaire, alimentation, cuisine
SPOHN CHRISTINE - LES GOURMANDISES BIO;3 RUE DE VARENNES;70130;RECOLOGNE;Agro-alimentaire, alimentation, cuisine
