metier;personnalite
Technologue en génie électrique;investigateur
Technologue en génie industriel;investigateur
Technologue en génie mécanique;investigateur
Technologue en génie nucléaire;investigateur
Technologue en géologie;investigateur
Technologue en géophysique;investigateur
Technologue en hydrologie;investigateur
Technologue en informatique;investigateur
Technologue en mécanique du bâtiment;investigateur
Technologue en minéralurgie;investigateur
Technologue en photonique;investigateur
Technologue en production animale;investigateur
Technologue en productions végétales;investigateur
Technologue en prospection minière;investigateur
Technologue en robotique;investigateur
Technologue en systèmes ordinés;investigateur
Technologue en transformation des matériaux composites;investigateur
Technologue en transformation des matières plastiques;investigateur
Anthropologue;investigateur
Astronome;investigateur
Biochimiste;investigateur
Chimiste;investigateur
Ethnologue;investigateur
Géochimiste;investigateur
Géologue;investigateur
Géophysicien;investigateur
Hydrographe;investigateur
Hydrologue;investigateur
Hygiéniste dentaire;investigateur
Minéralogiste;investigateur
Océanographe;investigateur
Paléontologue;investigateur
Restaurateur d’objets anciens;investigateur
Scientifique en produits alimentaires;investigateur
Sismologue;investigateur
Taxidermiste;investigateur
Technicien en muséologie;investigateur
Agroéconomiste;investigateur
Conseiller en importation et exportation;investigateur
Économiste;investigateur
Économiste en commerce international;investigateur
Économiste en développement international;investigateur
Économiste financier;investigateur
Économiste industriel;investigateur
Linguiste;investigateur
Psychométricien;investigateur
Traducteur;investigateur
Technicien juridique;investigateur
Chiropraticien;investigateur
Conseiller en conditionnement physique;investigateur
Éducateur physique kinésiologique;investigateur
Optométriste;investigateur
Ostéopathe;investigateur
Anesthésiste réanimateur;investigateur
Auxiliaire de recherche et d’enseignement;investigateur
Cardiologue;investigateur
Chirurgien cardio-vasculaire et thoracique;investigateur
Chirurgien général;investigateur
Chirurgien orthopédiste;investigateur
Chirurgien plasticien;investigateur
Criminologue;investigateur
Dermatologue;investigateur
Directeur de département d’université;investigateur
Endocrinologue;investigateur
Expert médico-légal;investigateur
Gastro-entérologue;investigateur
Gériatre;investigateur
Hématologue;investigateur
Médecin de santé publique;investigateur
Médecin en médecine d’urgence;investigateur
Médecin militaire;investigateur
Médecin spécialiste en médecine nucléaire;investigateur
Néphrologue;investigateur
Neurochirurgien;investigateur
Neurologue;investigateur
Neuropsychologue;investigateur
Obstétricien-gynécologue;investigateur
Omnipraticien;investigateur
Oncologue médical;investigateur
Ophtalmologiste;investigateur
Oto-rhino-laryngologiste;investigateur
Pédiatre;investigateur
Philosophe;investigateur
Physiatre;investigateur
Pneumologue;investigateur
Politicologue;investigateur
Professeur d’université;investigateur
Professeur de musique;investigateur
Professeur de musique instrumentale à l’université;investigateur
Professeur de philosophie;investigateur
Professeur en enseignement moral et religieux;investigateur
Psychanalyste;investigateur
Psychiatre;investigateur
Psychoéducateur;investigateur
Psychologue;investigateur
Psychologue au travail et des organisations;investigateur
Psychologue scolaire;investigateur
Psychosociologue;investigateur
Psychothérapeute;investigateur
Radio-oncologue;investigateur
Radiologiste;investigateur
Rhumatologue;investigateur
Sociologue;investigateur
Théologien;investigateur
Urologue;investigateur
Assembleur-intégrateur en multimédia;investigateur
Audiologiste;investigateur
Diététiste;investigateur
Historien;investigateur
Inspecteur de l’immigration;investigateur
Inspecteur des douanes;investigateur
Inspecteur des pêches;investigateur
Inspecteur des produits alimentaires;investigateur
Inspecteur des produits d’origine animale;investigateur
Inspecteur des produits végétaux;investigateur
Inspecteur en environnement agricole;investigateur
Orthophoniste;investigateur
Coroner;investigateur
Audioprothésiste;investigateur
Homéopathe;investigateur
Hypnothérapeute;investigateur
Opticien d’ordonnances;investigateur
Phytothérapeute;investigateur
Conservateur de musée;investigateur
Designer d’interface multimédia;investigateur
Ergonomiste;investigateur
Inspecteur d’établissements hôteliers et touristiques;investigateur
Inspecteur de la sécurité (entreprise privée);investigateur
Inspecteur des mesures antipollution;investigateur
Inspecteur des mines;investigateur
Inspecteur des normes sanitaires;investigateur
Pharmacien;investigateur
Pharmacien communautaire;investigateur
Pharmacien d’établissement de santé;investigateur
Pharmacien industriel;investigateur
Sage-femme;investigateur
Actuaire;investigateur
Archiviste;investigateur
Technicien en gestion de documents;investigateur
Terminologue;investigateur
Conseiller pédagogique;investigateur
Spécialiste de la mesure et l’évaluation en éducation;investigateur
Spécialiste des techniques et des moyens d’enseignement;investigateur
